label,review
1,"慢,一次比一次慢,再也不定了"
1,美女老板加新菜了→_→
1,人大写成三义庙不好意思。
1,有新菜我先尝尝
1,很棒继续加油
1,继续努力，刚才真的没注意查收，10几分就送到了，我还误解了店家，对不起啊，经常订所以追加好评算是道歉啊，谢谢
1,去人大店吃过一次，服务很好
1,快递小哥以后继续加速啊，加油
1,经常在这里订，味道棒棒的，继续努力，为我刚才的失误道歉了
1,早送到了，忘记点确认了，对不起小哥和店家
1,这真的是皮蛋瘦肉粥么？！好失望...
1,明明说了不要辣...好辣...
1,没想到是熏肉，不太喜欢
1,不错。很迅速
1,"还可以,有点干。"
1,包装不错，手套、餐巾纸很全，味道也不错
1,卷饼非常好吃！
1,卷饼太好吃啦！蔬菜鸡肉卷，鸡肉很足，蔬菜有青椒、香菇、豆芽、洋葱、土豆丝。口味和淡，不油腻，非常健康！
1,非常好！！！
1,希望下次不是2个小时才送到
1,非常好吃。
1,味道还不错吧，，就是土豆丝少了
1,快递小哥效率很高哦！谢谢了
1,肘子肉再炖烂一些就好了
1,"定了好几次了,确实不错！"
1,有点油腻～其他很好
1,很好吃，面皮特别有嚼劲儿，酱料也很好吃
1,"你家不看备注的吗？我说了装两个袋,帮别人买的,还用一个袋,我怎么拿啊"
1,有点小辣，还不错，不过男生吃可能会太少
1,好吃又美味
1,东西还可以，就是速度慢了些。
1,肘子味不是很浓，但卷饼不油腻，口感很好。
1,味道不错，就是好辣啊！把辣椒拿出去又觉得有点腻，能吃辣的可以试试看！
1,味道很好也很负责
1,"皮蛋瘦肉粥,我一看还以为是白粥。。。"
1,很好吃，总爱点他家的饭当工作餐。
1,送餐员辛苦了！
1,送餐的大叔辛苦了！
1,这次很快，追加，希望下次也这么快，哈哈
1,"很好,味道淡淡的,而且很干净"
1,送餐速度快，味道不错。
1,"终于吃到好吃的鱼香肉丝了,虽然有点慢"
1,"速度需努力，再接再厉,,"
1,速度需提升，再接再厉
1,很好很强大
1,卷饼味道很好，包装卫生，不过男同学一个中份吃不饱......
1,"我想说我的皮蛋瘦肉粥呢,就光把卷饼送来了,粥呢？"
1,不错！经济实惠
1,"非常实惠！肘子稍微有点腻,土豆卷很好吃"
1,虽然时间比较长，但是可以理解，(⊙o⊙)…
1,"第一次定,挺好吃的,就是有点慢,可能距离有些远"
1,经常订他家的卷饼吃
1,味道有点怪，可能个人原因，不爱吃
1,速度还可以！下着雨呢
1,送餐快，卷饼好吃
1,送的超级快~~~京酱肉丝卷好好吃
1,真没传说中的那么好吃，也可能是因为我点的是猪肘卷饼的缘故吧。反正菜太少了，肉太多了，尤其是好多肥肉处理的不太好，吃起来腻死了。如果肥肉部分去腻就好了。
1,还不错啊，买了两份，香菇鸡肉的尤其香，好吃，尖椒土豆丝的味道有点太淡了。好吃方便。
1,今天送的还挺快，就是让下楼拿不太爽
1,特别好的外卖小哥，卷饼很好吃，粥也好喝，真心推荐！
1,速度太快了。。。定的12点11点17就到了
1,千万不要定粥，坑
1,饼真心不是我想吃的那样的
1,惊呆了，刚付完钱十五分钟就送到了，买了多次了，好吃，干净，营养。
1,卷饼特别好吃～
1,"非常干净,味道也合适,满意"
1,"定的11点45送达,这10点半就到了,上班没法吃,一会只能吃凉的了"
1,最喜欢吃蘑菇鸡肉的卷了！大爱！
1,非常好，第二次点了
1,"好吃,速度快！"
1,好吃！速度快！
1,吃完感觉不舒服，油是不是不好？
1,一个多小时…还好当初也不是抱着快点到的希望定的
1,喜欢宇宙卷饼，送餐也很快，很划算
1,喜欢宇宙卷饼，送餐也很快，就是凉了没有那么好吃了
1,非常实惠，不错！
1,"肉卷吃的我有点腻,个人口味的问题吧,皮蛋瘦肉粥不错"
1,太棒了，速度快，还好吃，只是粥再多一点就好了，希望采纳
1,送的很快，给的挺多，就是微咸了，包装很有心意，感谢
1,味道还行，锡纸包着，还能加热。皮蛋瘦肉粥做的很好比嘉和一品好吃。包装很精致。还有一次性手套，很用心了。百度外卖不能传照片。。。
1,肘子还是比土豆好吃，坚持吃肉
1,还是很好，而且是非常热乎滴
1,送的太快了，师傅很辛苦，谢谢了。
1,味道太甜了～
1,好吃，包装好，干净卫生
1,吃好几次了挺好的
1,味道还不错~喜欢有爱的包装~
1,味道不错，送到的时候还是热的。
1,价格合适，面有些硬
1,很酷的宇宙卷饼，包装高级，分量足
1,送的好慢啊
1,还好味道不错量大
1,"包装超好,饼也很实惠！"
1,太快了。。。。比我定的时间快了一个小时
1,第一次评价外卖，包装好好，饼很好吃，菜也好吃，粥也好喝，大爱❤️
1,鸡肉不好吃，多弄点肘子，不多说
1,挺好吃个额
1,分量够，味道可以，送一次性手套和餐巾纸
1,酱太多了，口味太重
1,好吃挺快的
1,"好吃,挺快的"
1,挺快的好吃
1,"挺快的,好吃"
1,送餐速度很快！
1,东西不错，就是送的太慢
1,价格不贵，肉也够足，要是再加点葱什么的提提味就更好了
1,不错不错？，服务很好，点赞
1,送餐小哥特别好，饭也不错
1,一如既往的的快，好吃。。。。真棒
1,中份感觉男生吃不饱
1,看着很干净
1,卷饼不错！！饭的话一般般
1,"一直很好的卷饼，但是这次拿到餐就觉得纸袋下面湿的，打开包装发现里面粥是倒的……,粥撒了……"
1,包装很好，很干净
1,不错！虽然量有点少，但是很干净卫生
1,味道还是很不错！！速度也还行，包装很不错！
1,还不错，量挺大。
1,"好吃,就是太慢,两个小时才送到"
